,answers,result_data,datas,status
0,0,0.12293357216277362,1,주의
1,0,0.06738848324226264,1,주의
2,0,0.4594922496829832,1,주의
3,0,0.08392812123869335,1,주의
4,0,0.10919750423314928,1,주의
5,0,0.12488569573087292,1,주의
6,0,0.07508726340401811,1,주의
7,0,0.12234326830344336,1,주의
8,0,0.9983514849683912,0,위험
9,0,0.08937558244337643,1,주의
10,0,0.1357983045169358,1,주의
11,0,0.022807499252837992,1,주의
12,0,0.1736451622987877,1,주의
13,0,0.815068184642514,0,위험
14,1,0.9902581078798994,1,위험
15,0,0.0685800353767052,1,주의
16,0,0.12789885711404578,1,주의
17,0,0.09205398940514739,1,주의
18,0,0.45376058481688736,1,주의
19,0,0.08564652995638862,1,주의
20,0,0.17521635655694437,1,주의
21,0,0.1667820791841169,1,주의
22,0,0.2358587960963096,1,주의
23,0,0.07511886287108155,1,주의
24,0,0.14185356980342423,1,주의
25,0,0.3666282207234571,1,주의
26,0,0.27977205559625706,1,주의
27,0,0.14364210694531096,1,주의
28,0,0.12660014406770617,1,주의
29,0,0.06509320004983579,1,주의
30,0,0.5211541164370663,0,경계
31,0,0.11474617455550798,1,주의
32,0,0.1774505821513149,1,주의
33,0,0.06107757589504345,1,주의
34,0,0.15640968383512036,1,주의
35,1,0.1637350847531081,0,주의
36,0,0.29901374087034344,1,주의
37,1,0.19619694038000363,0,주의
38,0,0.2279995536788797,1,주의
39,1,0.6848145978998097,1,경계
40,0,0.5693733222604203,0,경계
41,0,0.9699301351554617,0,위험
42,0,0.09397585874930345,1,주의
43,0,0.06959932036362217,1,주의
44,0,0.9864222405760973,0,위험
45,0,0.08879760291817027,1,주의
46,0,0.7987612533154534,0,위험
47,0,0.1966943469368907,1,주의
48,1,0.9999999267819595,1,위험
49,0,0.35917325426045493,1,주의
50,0,0.08314560833873945,1,주의
51,0,0.06588782900048375,1,주의
52,0,0.25883428544499976,1,주의
53,0,0.5637445318420844,0,경계
54,0,0.043304966926153876,1,주의
55,0,0.05246902403468871,1,주의
56,0,0.051988731853228706,1,주의
57,0,0.01989393119060754,1,주의
58,0,0.1811909333817965,1,주의
59,0,0.07564430545383592,1,주의
60,0,0.030475772961454255,1,주의
61,0,0.10352993891845469,1,주의
62,0,0.07549719055727208,1,주의
63,0,0.14652357915841024,1,주의
64,0,0.1717843198712841,1,주의
65,0,0.0796271907409536,1,주의
66,0,0.047217931018459613,1,주의
67,0,0.5098948668294422,0,경계
68,0,0.048559994868877306,1,주의
69,0,0.12165153963805023,1,주의
70,0,0.10720358578606735,1,주의
71,0,0.07017594538461833,1,주의
72,0,0.05440961592402409,1,주의
73,0,0.19862762298795106,1,주의
74,0,0.4042705763089344,1,주의
75,0,0.14070940801228501,1,주의
76,0,0.5068457865664016,0,경계
77,0,0.07523759395899485,1,주의
78,0,0.09344126386302651,1,주의
79,0,0.14050108583543364,1,주의
80,0,0.6161355076881815,0,경계
81,0,0.051866367177733345,1,주의
82,0,0.38716700008952076,1,주의
83,0,0.11615126325105664,1,주의
84,1,0.18601150184858775,0,주의
85,0,0.19609543088802123,1,주의
86,0,0.12174391049092528,1,주의
87,1,0.1640795836874533,0,주의
88,0,0.17608846589485905,1,주의
89,0,0.12366057069631968,1,주의
90,0,0.29855725042727377,1,주의
91,0,0.09830669519567352,1,주의
92,0,0.1357028096229994,1,주의
93,0,0.0807439638760772,1,주의
94,0,0.2547230150756971,1,주의
95,0,0.0905035766698802,1,주의
96,1,0.9720769967152555,1,위험
97,0,0.15931020737182494,1,주의
98,0,0.15750409742899502,1,주의
99,0,0.05926100197706886,1,주의
100,0,0.08959760468646384,1,주의
101,0,0.06404231418437,1,주의
102,0,0.10163481594273788,1,주의
103,0,0.015892005870646476,1,주의
104,0,0.035461943084406054,1,주의
105,0,0.04828087584055906,1,주의
106,0,0.04839548916283535,1,주의
107,0,0.3454170466091873,1,주의
108,0,0.05178322219795427,1,주의
109,0,0.02053090720896653,1,주의
110,0,0.029574329441445037,1,주의
111,0,0.32134719140064266,1,주의
112,0,0.06889331482131292,1,주의
113,0,0.16873504291741162,1,주의
114,0,0.037810577735873145,1,주의
115,0,0.09116779067129402,1,주의
116,0,0.05548848291239046,1,주의
117,0,0.31335399814615555,1,주의
118,0,0.06009090604232835,1,주의
119,0,0.1503130240488289,1,주의
120,0,0.02316150610585203,1,주의
121,0,0.07612045642906481,1,주의
122,0,0.044971790044947765,1,주의
123,0,0.7711566616141262,0,위험
124,0,0.04317402029558817,1,주의
125,0,0.10160487471982961,1,주의
126,0,0.16002970300186733,1,주의
127,0,0.37538907943270855,1,주의
128,0,0.15471919127329203,1,주의
129,0,0.14008851470163808,1,주의
130,0,0.1595617718936793,1,주의
131,0,0.08299864293415245,1,주의
132,0,0.394652815701157,1,주의
133,0,0.07433385501109387,1,주의
134,1,0.15851118309688664,0,주의
135,0,0.2650103583118804,1,주의
136,0,0.07021557014421051,1,주의
137,1,0.9914476266062441,1,위험
138,0,0.08444136349368452,1,주의
139,0,0.050356095859056704,1,주의
140,0,0.3629136869227847,1,주의
141,0,0.059140462678155634,1,주의
142,0,0.11329521792222105,1,주의
143,1,0.09653522961826279,0,주의
144,0,0.07250353554770478,1,주의
145,0,0.9654340640988784,0,위험
146,0,0.036847795082416486,1,주의
147,0,0.058862117967263435,1,주의
148,1,0.4194631133889785,0,주의
149,0,0.052520925786522454,1,주의
150,0,0.9133883711738398,0,위험
151,0,0.04437708248024325,1,주의
152,0,0.45853393807952186,1,주의
153,1,0.14091732456532735,0,주의
154,0,0.11356616154987756,1,주의
155,0,0.052305221002331946,1,주의
156,0,0.2984197467651625,1,주의
157,0,0.4876293790391668,1,주의
158,0,0.09386705907829788,1,주의
159,0,0.9991543979316162,0,위험
160,0,0.05772511044014049,1,주의
161,0,0.09118653358719551,1,주의
162,0,0.16675185550043778,1,주의
163,0,0.05492334892827512,1,주의
164,0,0.8799360022345674,0,위험
165,0,0.06748904109817988,1,주의
166,0,0.20922671172322616,1,주의
167,0,0.29380733824933053,1,주의
168,0,0.06635633769906703,1,주의
169,0,0.5392893201366931,0,경계
170,0,0.053341441190350905,1,주의
171,0,0.11453385860590543,1,주의
